title,artist,album,af_danceability,af_energy,af_loudness,af_speechiness,af_acousticness,af_instrumentalness,af_valence,af_tempo,language_id
Vacaciones,Wisin,Vacaciones,0.772,0.909,-3.225,0.166,0.256,0.0,0.694,96.031,1.0
Vente Pa' Ca (feat. Maluma),Ricky Martin,Vente Pa' Ca (feat. Maluma),0.663,0.92,-4.07,0.226,0.00431,1.69E-5,0.533,99.935,1.0
Volaré,Benjamín Amadeo,Vida Lejana,0.63,0.713,-5.8,0.0443,0.264,0.0,0.547,81.999,1.0
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,Nine Track Mind,0.728,0.563,-8.053,0.134,0.621,0.0,0.352,100.017,0.0
What Do You Mean?,Justin Bieber,Purpose (Deluxe),0.845,0.567,-8.118,0.0956,0.59,0.00142,0.793,125.02,0.0
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,7/27 (Deluxe),0.803,0.585,-5.861,0.0432,0.103,3.94E-6,0.593,105.017,0.0
Would I Lie to You - Radio Edit,"David Guetta, Cedric Gervais, Chris Willis",Would I Lie to You,0.671,0.826,-5.766,0.309,0.00718,0.0,0.774,123.986,0.0
Ya Me Enteré (feat. Nicky Jam) - Urban Version,Reik,Des/Amor,0.768,0.742,-6.308,0.0443,0.234,0.0,0.797,114.679,1.0
Yo Tomo Licor,Amar Azul,Lo Mejor De Lo Mejor,0.767,0.901,-1.975,0.0862,0.319,0.0,0.751,94.023,1.0
Yo tambien,Rombai,De Fiesta,0.549,0.645,-5.156,0.148,0.0959,0.0,0.909,200.174,1.0
Yo te propongo,Rombai,De Fiesta,0.851,0.867,-5.062,0.0589,0.0514,2.33E-5,0.77,112.178,1.0
